"LastName","FirstName","Gender","Country","Date","Competition","Round","Location","Apparatus","Rank","D_Score","E_Score","Penalty","Score","ID","FullName","AthleteID"
"aas","fredrik","m","NOR","23-26 Feb 2023","2023 Cottbus World Cup","qual","Cottbus, Germany","HB",39,4.6,6.7,NA,11.3,"fredrik_aas_NOR","fredrik aas","fredrik aas_NOR"
"aas","fredrik","m","NOR","23-26 Feb 2023","2023 Cottbus World Cup","qual","Cottbus, Germany","PH",44,4.4,7.8,NA,12.2,"fredrik_aas_NOR","fredrik aas","fredrik aas_NOR"
"aas","fredrik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","FX",54,4,8.566,NA,12.566,"fredrik_aas_NOR","fredrik aas","fredrik aas_NOR"
"aas","fredrik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","HB",44,4.6,8.166,NA,12.766,"fredrik_aas_NOR","fredrik aas","fredrik aas_NOR"
"aas","fredrik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","PB",54,4.4,8.066,NA,12.466,"fredrik_aas_NOR","fredrik aas","fredrik aas_NOR"
"aas","fredrik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","PH",58,4.4,7.266,NA,11.666,"fredrik_aas_NOR","fredrik aas","fredrik aas_NOR"
"aas","fredrik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","SR",73,3.5,8.366,NA,11.866,"fredrik_aas_NOR","fredrik aas","fredrik aas_NOR"
"aas","fredrik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","VT",69,4,8.966,NA,12.966,"fredrik_aas_NOR","fredrik aas","fredrik aas_NOR"
"abad","nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","FX",13,5.5,8.3,NA,13.8,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
"abad","nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",48,5.5,7.9,NA,13.4,"nestor_abad_ESP","nestor abad","nestor abad_ESP"
